Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
10,-3111.168,9.113585e-08,0.1026586,0.4333226,0.9513493,0.7683946,0.9696169,0.6594464,0.9824026,0.8133705,0.6684371,0.7706767,0.8152591
20,-3111.168,9.113585e-08,0.1026586,0.4333226,0.9513493,0.7683946,0.9696169,0.6594464,0.9824026,0.8133705,0.6684371,0.7706767,0.8152591
30,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
40,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
50,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
60,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
70,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
80,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
90,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
100,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
110,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
120,-2560.423,7.743909e-08,0.05879108,0.4470904,0.8835787,0.8121361,0.9339199,0.5677322,0.9800071,0.6685769,0.580202,0.6191535,0.8657126
130,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
140,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
150,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
160,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
170,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
180,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
190,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
200,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
210,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
220,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
230,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
240,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
250,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
260,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
270,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
280,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
290,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
300,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
310,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
320,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
330,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
340,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
350,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
360,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
370,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
380,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
390,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
400,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
410,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
420,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
430,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
440,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
450,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
460,-1731.006,8.3942e-08,0.05970268,0.5511314,0.8219777,0.8654935,0.9882528,0.4950367,0.9516176,0.6754375,0.6351371,0.5112266,0.80639
470,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
480,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
490,-1329.224,8.450992e-08,0.07724447,0.5945451,0.8743493,0.8617314,0.9560336,0.4519718,0.9701438,0.701383,0.7300823,0.5792392,0.7726096
