Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
10,-4170.561,1.513214e-08,0.4412962,0.6153603,0.6823247,0.9851455,0.7910127,0.7438927,0.4922679,0.6308175,0.8341209
20,-4170.561,1.513214e-08,0.4412962,0.6153603,0.6823247,0.9851455,0.7910127,0.7438927,0.4922679,0.6308175,0.8341209
30,-4170.561,1.513214e-08,0.4412962,0.6153603,0.6823247,0.9851455,0.7910127,0.7438927,0.4922679,0.6308175,0.8341209
40,-4170.561,1.513214e-08,0.4412962,0.6153603,0.6823247,0.9851455,0.7910127,0.7438927,0.4922679,0.6308175,0.8341209
50,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
60,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
70,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
80,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
90,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
100,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
110,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
120,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
130,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
140,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
150,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
160,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
170,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
180,-3122.726,1.508977e-08,0.4501193,0.6248067,0.6543204,0.9777273,0.8841107,0.8368812,0.5175189,0.5874621,0.7700744
190,-2213.615,1.467999e-08,0.3883394,0.6346705,0.6251818,0.9874194,0.8851017,0.7581194,0.5019618,0.5533282,0.711741
200,-2213.615,1.467999e-08,0.3883394,0.6346705,0.6251818,0.9874194,0.8851017,0.7581194,0.5019618,0.5533282,0.711741
210,-2213.615,1.467999e-08,0.3883394,0.6346705,0.6251818,0.9874194,0.8851017,0.7581194,0.5019618,0.5533282,0.711741
220,-2213.615,1.467999e-08,0.3883394,0.6346705,0.6251818,0.9874194,0.8851017,0.7581194,0.5019618,0.5533282,0.711741
230,-2213.615,1.467999e-08,0.3883394,0.6346705,0.6251818,0.9874194,0.8851017,0.7581194,0.5019618,0.5533282,0.711741
240,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
250,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
260,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
270,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
280,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
290,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
300,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
310,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
320,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
330,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
340,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
350,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
360,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
370,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
380,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
390,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
400,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
410,-2210.875,1.475801e-08,0.3572768,0.653414,0.5703244,0.9737775,0.8895798,0.82161,0.5741006,0.4879296,0.7646281
