Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
10,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
20,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
30,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
40,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
50,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
60,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
70,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
80,-1102.103,2.863405e-08,0.5036029,0.7238695,0.7195412,0.489001,0.4928408,0.6679105
90,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
100,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
110,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
120,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
130,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
140,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
150,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
160,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
170,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
180,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
190,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
200,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
210,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
220,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
230,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
240,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
250,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
260,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
270,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
280,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
290,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
300,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
310,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
320,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
330,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
340,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
350,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
360,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
370,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
380,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
390,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
400,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
410,-1085.609,2.760716e-08,0.5952769,0.613553,0.7270605,0.5101671,0.4396052,0.7122507
