Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
10,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
20,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
30,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
40,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
50,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
60,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
70,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
80,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
90,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
100,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
110,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
120,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
130,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
140,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
150,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
160,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
170,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
180,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
190,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
200,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
210,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
220,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
230,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
240,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
250,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
260,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
270,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
280,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
290,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
300,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
310,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
320,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
330,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
340,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
350,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
360,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
370,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
380,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
390,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
400,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
410,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
420,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
430,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
440,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
450,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
460,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
470,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
480,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
490,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
500,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
510,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
520,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
530,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
540,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
550,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
560,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
570,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
580,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
590,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
600,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
610,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
620,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
630,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
640,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
650,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
660,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
670,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
680,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
690,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
700,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
710,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
720,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
730,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
740,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
750,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
760,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
770,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
780,-912.2774,4.377493e-08,0.002459368,0.6750522,0.7307064,0.9624467,0.2976057,0.5685816,0.504329
