Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
10,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
20,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
30,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
40,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
50,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
60,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
70,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
80,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
90,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
100,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
110,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
120,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
130,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
140,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
150,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
160,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
170,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
180,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
190,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
200,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
210,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
220,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
230,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
240,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
250,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
260,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
270,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
280,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
290,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
300,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
310,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
320,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
330,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
340,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
350,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
360,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
370,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
380,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
390,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
400,-532.6578,1.252402e-07,0.1972443,0.559995,0.8946089,0.8806866,0.7915618,0.623643,0.9242788,0.4866134,0.543883,0.5973747
