Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
10,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
20,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
30,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
40,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
50,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
60,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
70,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
80,-2006.483,4.073955e-08,0.7652786,0.7560493,0.7722454,0.8777499,0.6706899,0.6912361,0.6583564,0.7148263,0.836238,0.7252598
90,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
100,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
110,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
120,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
130,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
140,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
150,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
160,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
170,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
180,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
190,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
200,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
210,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
220,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
230,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
240,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
250,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
260,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
270,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
280,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
290,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
300,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
310,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
320,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
330,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
340,-1846.182,3.615137e-08,0.6203513,0.6758249,0.7382266,0.862334,0.8365463,0.6623104,0.6365569,0.7940822,0.7232925,0.8122277
350,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
360,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
370,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
380,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
390,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
400,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
410,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
420,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
430,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
440,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
450,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
460,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
470,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
480,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
490,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
500,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
510,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
520,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
530,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
540,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
550,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
560,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
570,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
580,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
590,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
600,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
610,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
620,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
630,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
640,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
650,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
660,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
670,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
680,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
690,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
700,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
710,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
720,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
730,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
740,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
750,-1820.101,4.216295e-08,0.7978605,0.6822058,0.8298202,0.8639392,0.8148909,0.6177094,0.64846,0.827074,0.6113378,0.6525304
