Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
10,-820.7835,1.448195e-07,0.7318816,0.767021,0.8708783,0.5411773,0.6339019,0.8,0.8,0.8
20,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
30,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
40,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
50,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
60,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
70,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
80,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
90,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
100,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
110,-820.4741,1.797122e-07,0.8443379,0.7582631,0.8159613,0.8504396,0.6118851,0.8649904,0.8082017,0.7523809
120,-759.2882,1.535552e-07,0.7658598,0.7533247,0.8419377,0.8549406,0.5123492,0.7995606,0.8863981,0.5651569
130,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
140,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
150,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
160,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
170,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
180,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
190,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
200,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
210,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
220,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
230,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
240,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
250,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
260,-757.8164,1.415987e-07,0.7096783,0.8335453,0.8761849,0.7670697,0.4923358,0.8698457,0.6454206,0.4431667
270,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
280,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
290,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
300,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
310,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
320,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
330,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
340,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
350,-718.6402,1.527791e-07,0.7525983,0.7981087,0.7977558,0.8796061,0.5281751,0.7659509,0.6949821,0.32416
360,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
370,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
380,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
390,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
400,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
410,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
420,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
430,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
440,-703.4149,1.510451e-07,0.7700057,0.8052309,0.7874666,0.9244939,0.4648338,0.6352601,0.6653927,0.2693579
