Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
10,-1452.523,1.989155e-08,0.3142836,0.8025403,0.7276005,0.6702942,0.2840712,0.6622876,0.8,0.8
20,-1452.523,1.989155e-08,0.3142836,0.8025403,0.7276005,0.6702942,0.2840712,0.6622876,0.8,0.8
30,-1452.523,1.989155e-08,0.3142836,0.8025403,0.7276005,0.6702942,0.2840712,0.6622876,0.8,0.8
40,-1452.523,1.989155e-08,0.3142836,0.8025403,0.7276005,0.6702942,0.2840712,0.6622876,0.8,0.8
50,-1452.523,1.989155e-08,0.3142836,0.8025403,0.7276005,0.6702942,0.2840712,0.6622876,0.8,0.8
60,-1405.922,1.76444e-08,0.1644203,0.615803,0.9066353,0.8169345,0.02949249,0.5312602,0.7557085,0.6355677
70,-1405.922,1.76444e-08,0.1644203,0.615803,0.9066353,0.8169345,0.02949249,0.5312602,0.7557085,0.6355677
80,-1405.922,1.76444e-08,0.1644203,0.615803,0.9066353,0.8169345,0.02949249,0.5312602,0.7557085,0.6355677
90,-1405.922,1.76444e-08,0.1644203,0.615803,0.9066353,0.8169345,0.02949249,0.5312602,0.7557085,0.6355677
100,-1405.922,1.76444e-08,0.1644203,0.615803,0.9066353,0.8169345,0.02949249,0.5312602,0.7557085,0.6355677
110,-1304.602,1.909695e-08,0.2102064,0.6430537,0.8059188,0.9448841,0.1851923,0.5488521,0.79753,0.5071997
120,-1304.602,1.909695e-08,0.2102064,0.6430537,0.8059188,0.9448841,0.1851923,0.5488521,0.79753,0.5071997
130,-1304.602,1.909695e-08,0.2102064,0.6430537,0.8059188,0.9448841,0.1851923,0.5488521,0.79753,0.5071997
140,-1296.022,2.282981e-08,0.4917505,0.6040539,0.8404373,0.7803037,0.2903783,0.5611544,0.6087031,0.4206276
150,-1296.022,2.282981e-08,0.4917505,0.6040539,0.8404373,0.7803037,0.2903783,0.5611544,0.6087031,0.4206276
160,-1296.022,2.282981e-08,0.4917505,0.6040539,0.8404373,0.7803037,0.2903783,0.5611544,0.6087031,0.4206276
170,-1296.022,2.282981e-08,0.4917505,0.6040539,0.8404373,0.7803037,0.2903783,0.5611544,0.6087031,0.4206276
180,-1296.022,2.282981e-08,0.4917505,0.6040539,0.8404373,0.7803037,0.2903783,0.5611544,0.6087031,0.4206276
190,-1214.781,2.363615e-08,0.5710573,0.6614437,0.7540955,0.7719919,0.3356143,0.534484,0.7308115,0.3634052
200,-1198.093,2.164701e-08,0.3948372,0.7801755,0.7324539,0.6510967,0.0541279,0.5342913,0.7217992,0.4319913
210,-1141.761,2.013049e-08,0.3376457,0.8835166,0.6766791,0.6989253,0.1009848,0.4614103,0.8060067,0.3093551
220,-1141.761,2.013049e-08,0.3376457,0.8835166,0.6766791,0.6989253,0.1009848,0.4614103,0.8060067,0.3093551
230,-1141.761,2.013049e-08,0.3376457,0.8835166,0.6766791,0.6989253,0.1009848,0.4614103,0.8060067,0.3093551
240,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
250,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
260,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
270,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
280,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
290,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
300,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
310,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
320,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
330,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
340,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
350,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
360,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
370,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
380,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
390,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
400,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
410,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
420,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
430,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
440,-1011.379,2.035194e-08,0.3159272,0.910205,0.7872163,0.7195904,0.07176642,0.4610813,0.6707302,0.1032508
