Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
10,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
20,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
30,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
40,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
50,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
60,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
70,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
80,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
90,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
100,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
110,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
120,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
130,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
140,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
150,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
160,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
170,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
180,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
190,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
200,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
210,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
220,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
230,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
240,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
250,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
260,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
270,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
280,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
290,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
300,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
310,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
320,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
330,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
340,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
350,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
360,-1008915,2.590625e-09,0.2469349,0.6347472,0.8549085,0.5579329,0.9503513,0.5244287,0.7471075,0.4853588
