Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
10,-1008036,4.064404e-09,0.8695643,0.2634,0.7007557,0.7581453,0.5881296,0.9268562,0.8257277,0.6888903,0.6849477,0.5579482,0.634578
20,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
30,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
40,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
50,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
60,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
70,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
80,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
90,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
100,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
110,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
120,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
130,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
140,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
150,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
160,-15479.81,4.081267e-09,0.8228711,0.04761377,0.7219503,0.821639,0.5848691,0.9605747,0.855358,0.7491314,0.7324349,0.5379205,0.7063303
