Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10,vecEff11
10,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
20,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
30,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
40,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
50,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
60,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
70,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
80,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
90,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
100,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
110,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
120,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
130,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
140,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
150,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
160,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
170,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
180,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
190,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
200,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
210,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
220,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
230,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
240,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
250,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
260,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
270,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
280,-932.9694,1.9674e-08,0.4766371,0.7239594,0.9831855,0.8256105,0.7067592,0.7780491,0.540935,0.6697394,0.6061294,0.5749594,0.6906078
290,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
300,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
310,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
320,-926.4923,2.122793e-08,0.4030709,0.8031117,0.9470177,0.7998692,0.6764578,0.7703729,0.3980468,0.7441838,0.6433856,0.5371727,0.8038882
