Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
10,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
20,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
30,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
40,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
50,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
60,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
70,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
80,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
90,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
100,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
110,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
120,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
130,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
140,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
150,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
160,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
170,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
180,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
190,-853.8511,1.999876e-08,0.07939401,0.6808712,0.9278094,0.919443,0.6510976,0.5509786
