Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
10,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
20,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
30,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
40,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
50,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
60,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
70,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
80,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
90,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
100,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
110,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
120,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
130,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
140,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
150,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
160,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
170,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
180,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
190,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
200,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
210,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
220,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
230,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
240,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
250,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
260,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
270,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
280,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
290,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
300,-515.7981,4.550113e-07,0.1669995,0.8832356,0.8376185,0.6355338,0.7300011,0.6056709,0.6796179,0.8666517,0.8337713
