Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
10,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
20,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
30,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
40,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
50,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
60,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
70,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
80,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
90,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
100,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
110,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
120,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
130,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
140,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
150,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
160,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
170,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
180,-1152.418,4.421319e-08,0.03297801,0.7992674,0.9484967,0.8541757,0.6512654,0.8451826,0.7427668
