Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
10,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
20,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
30,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
40,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
50,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
60,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
70,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
80,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
90,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
100,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
110,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
120,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
130,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
140,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
150,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
160,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
170,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
180,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
190,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
200,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
210,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
220,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
230,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
240,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
250,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
260,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
270,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
280,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
290,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
300,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
310,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
320,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
330,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
340,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
350,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
360,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
370,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
380,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
390,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
400,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
410,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
420,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
430,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
440,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
450,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
460,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
470,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
480,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
490,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
500,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
510,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
520,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
530,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
540,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
550,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
560,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
570,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
580,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
590,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
600,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
610,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
620,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
630,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
640,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
650,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
660,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
670,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
680,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
690,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
700,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
710,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
720,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
730,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
740,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
750,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
760,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
770,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
780,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
790,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
800,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
810,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
820,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
830,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
840,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
850,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
860,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
870,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
880,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
890,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
900,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
910,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
920,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
930,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
940,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
950,-565.4818,8.518319e-08,0.6329661,0.838907,0.6693749,0.3849909,0.6139196,0.5586994,0.9728584
