Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7
10,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
20,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
30,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
40,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
50,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
60,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
70,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
80,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
90,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
100,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
110,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
120,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
130,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
140,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
150,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
160,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
170,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
180,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
190,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
200,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
210,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
220,NA,9.190201e-08,0.1536377,0.6348391,0.8,0.8,0.8,0.8,0.8
