Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
10,-1058.221,3.20641e-07,0.8360961,0.9628363,0.9396381,0.8421845,0.6923583,0.8
20,-1058.221,3.20641e-07,0.8360961,0.9628363,0.9396381,0.8421845,0.6923583,0.8
30,-1058.221,3.20641e-07,0.8360961,0.9628363,0.9396381,0.8421845,0.6923583,0.8
40,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
50,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
60,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
70,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
80,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
90,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
100,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
110,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
120,-1036.79,3.445798e-07,0.8837783,0.8856643,0.934488,0.9460189,0.6813899,0.8523763
130,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
140,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
150,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
160,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
170,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
180,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
190,-992.128,3.183713e-07,0.8403096,0.8825566,0.9887102,0.9271506,0.6423737,0.8235214
200,-987.2293,3.036842e-07,0.8095343,0.9604943,0.7193677,0.9920731,0.6312165,0.8262955
210,-987.2293,3.036842e-07,0.8095343,0.9604943,0.7193677,0.9920731,0.6312165,0.8262955
220,-987.2293,3.036842e-07,0.8095343,0.9604943,0.7193677,0.9920731,0.6312165,0.8262955
230,-987.2293,3.036842e-07,0.8095343,0.9604943,0.7193677,0.9920731,0.6312165,0.8262955
240,-987.2293,3.036842e-07,0.8095343,0.9604943,0.7193677,0.9920731,0.6312165,0.8262955
