Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
10,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
20,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
30,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
40,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
50,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
60,-613.4887,3.13949e-07,0.135683,0.225773,0.6416347,0.8061054,0.458388
70,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
80,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
90,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
100,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
110,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
120,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
130,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
140,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
150,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
160,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
170,-612.7952,3.277289e-07,0.03359848,0.2624712,0.7133587,0.749275,0.4738639
180,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
190,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
200,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
210,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
220,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
230,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
240,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
250,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
260,-614.1335,3.43811e-07,0.05952488,0.3050106,0.7386467,0.8048423,0.4953388
