Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
10,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
20,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
30,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
40,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
50,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
60,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
70,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
80,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
90,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
100,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
110,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
120,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
130,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
140,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
150,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
160,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
170,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
180,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
190,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
200,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
210,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
220,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
230,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
240,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
250,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
260,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
270,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
280,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
290,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
300,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
310,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
320,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
330,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
340,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
350,-1224.785,1.300947e-08,0.09428943,0.8269183,0.8685885,0.8549721,0.6593206,0.8519885,0.881911,0.705633,0.7594482
