Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
10,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
20,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
30,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
40,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
50,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
60,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
70,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
80,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
90,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
100,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
110,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
120,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
130,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
140,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
150,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
160,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
170,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
180,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
190,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
200,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
210,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
220,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
230,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
240,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
250,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
260,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
270,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
280,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
290,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
300,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
310,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
320,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
330,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
340,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
350,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
360,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
370,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
380,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
390,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
400,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
410,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
420,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
430,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
440,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
450,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
460,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
470,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
480,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
490,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
500,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
510,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
520,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
530,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
540,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
550,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
560,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
570,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
580,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
590,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
600,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
610,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
620,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
630,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
640,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
650,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
660,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
670,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
680,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
690,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
700,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
710,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
720,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
730,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
740,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
750,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
760,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
770,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
780,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
790,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
800,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
810,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
820,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
830,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
840,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
850,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
860,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
870,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
880,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
890,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
900,-1264.344,5.619226e-08,0.817253,0.9181881,0.917958,0.8818066,0.8826665,0.7732284,0.8,0.8
