Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
10,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
20,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
30,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
40,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
50,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
60,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
70,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
80,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
90,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
100,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
110,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
120,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
130,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
140,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
150,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
160,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
170,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
180,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
190,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
200,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
210,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
220,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
230,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
240,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
250,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
260,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
270,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
280,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
290,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
300,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
310,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
320,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
330,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
340,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
350,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
360,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
370,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
380,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
390,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
400,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
410,-1126.88,5.242339e-09,0.03000894,0.7960727,0.6281469,0.8054432,0.7876678,0.6266837,0.7195648,0.8368566,0.7294506,0.8593177
