Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
10,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
20,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
30,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
40,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
50,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
60,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
70,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
80,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
90,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
100,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
110,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
120,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
130,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
140,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
150,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
160,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
170,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
180,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
190,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
200,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
210,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
220,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
230,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
240,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
250,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
260,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
270,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
280,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
290,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
300,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
310,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
320,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
330,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
340,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
350,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
360,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
370,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
380,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
390,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
400,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
410,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
420,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
430,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
440,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
450,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
460,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
470,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
480,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
490,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
500,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
510,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
520,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
530,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
540,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
550,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
560,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
570,-1002342,3.729522e-08,0.8134175,0.9248934,0.8848913,0.5544634,0.8487292
