Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8
10,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
20,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
30,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
40,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
50,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
60,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
70,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
80,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
90,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
100,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
110,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
120,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
130,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
140,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
150,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
160,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
170,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
180,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
190,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
200,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
210,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
220,-1155.385,9.292585e-09,0.2973554,0.3971556,0.73674,0.7104821,0.661029,0.5754064,0.6781175,0.713762
