Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9
10,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
20,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
30,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
40,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
50,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
60,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
70,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
80,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
90,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
100,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
110,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
120,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
130,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
140,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
150,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
160,-719.6166,3.58428e-08,0.3801735,0.6094031,0.917716,0.8370196,0.9671431,0.5115256,0.5428984,0.6814068,0.7729913
