Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
10,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
20,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
30,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
40,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
50,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
60,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
70,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
80,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
90,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
100,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
110,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
120,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
130,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
140,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
150,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
160,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
170,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
180,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
190,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
200,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
210,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
220,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
230,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
240,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
250,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
260,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
270,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
280,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
290,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
300,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
310,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
320,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
330,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
340,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
350,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
360,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
370,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
380,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
390,-620.4082,1.65937e-07,0.8597945,0.6871225,0.914741,0.9191376,0.9102672,0.8698106,0.8245759,0.7059469,0.8011925,0.8192777
