Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4
10,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
20,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
30,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
40,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
50,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
60,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
70,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
80,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
90,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
100,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
110,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
120,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
130,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
140,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
150,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
160,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
170,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
180,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
190,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
200,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
210,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
220,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
230,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
240,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
250,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
260,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
270,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
280,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
290,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
300,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
310,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
320,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
330,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
340,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
350,-19010467,3.414467e-09,0.3854401,0.8911682,0.4932893,0.6082579
