Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
10,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
20,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
30,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
40,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
50,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
60,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
70,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
80,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
90,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
100,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
110,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
120,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
130,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
140,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
150,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
160,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
170,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
180,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
190,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
200,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
210,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
220,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
230,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
240,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
250,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
260,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
270,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
280,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
290,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
300,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
310,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
320,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
330,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
340,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
350,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
360,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
370,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
380,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
390,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
400,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
410,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
420,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
430,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
440,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
450,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
460,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
470,-1694.199,1.218117e-08,0.3775258,0.3097889,0.4876052,0.6422334,0.5671581,0.6366811
