Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6
10,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
20,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
30,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
40,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
50,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
60,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
70,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
80,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
90,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
100,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
110,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
120,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
130,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
140,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
150,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
160,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
170,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
180,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
190,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
200,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
210,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
220,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
230,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
240,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
250,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
260,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
270,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
280,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
290,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
300,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
310,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
320,-1412.782,2.945351e-08,0.8462424,0.9753981,0.4377383,0.6051837,0.7786321,0.7576236
