Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5,vecEff6,vecEff7,vecEff8,vecEff9,vecEff10
10,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
20,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
30,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
40,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
50,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
60,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
70,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
80,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
90,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
100,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
110,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
120,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
130,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
140,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
150,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
160,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
170,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
180,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
190,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
200,-10015418,3.067085e-09,0.6345751,0.5637321,0.7593525,0.6132731,0.8,0.8,0.8,0.8,0.8,0.8
