"un","Country","Date","NewCases","NewDeaths","Population","StayHomeOrder","StayHomeGen","StayHomeRiskG","ClosDaycare","ClosPrim","ClosSecHigh","ClosPubMin2","MassGather50","MassGatherAll","ClosPubAny","MasksVoluntary","MasksMandatory","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"Austria 2020-01-01","Austria",2020-01-01,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-02","Austria",2020-01-02,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-03","Austria",2020-01-03,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-04","Austria",2020-01-04,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-05","Austria",2020-01-05,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-06","Austria",2020-01-06,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-07","Austria",2020-01-07,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-08","Austria",2020-01-08,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-09","Austria",2020-01-09,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-10","Austria",2020-01-10,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-11","Austria",2020-01-11,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-12","Austria",2020-01-12,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-13","Austria",2020-01-13,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-14","Austria",2020-01-14,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-15","Austria",2020-01-15,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-16","Austria",2020-01-16,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-17","Austria",2020-01-17,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-18","Austria",2020-01-18,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-19","Austria",2020-01-19,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-20","Austria",2020-01-20,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-21","Austria",2020-01-21,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-22","Austria",2020-01-22,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-23","Austria",2020-01-23,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-24","Austria",2020-01-24,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-25","Austria",2020-01-25,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-26","Austria",2020-01-26,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-27","Austria",2020-01-27,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-28","Austria",2020-01-28,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-29","Austria",2020-01-29,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-30","Austria",2020-01-30,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-01-31","Austria",2020-01-31,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-01","Austria",2020-02-01,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-02","Austria",2020-02-02,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-03","Austria",2020-02-03,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-04","Austria",2020-02-04,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-05","Austria",2020-02-05,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-06","Austria",2020-02-06,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-07","Austria",2020-02-07,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-08","Austria",2020-02-08,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-09","Austria",2020-02-09,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-10","Austria",2020-02-10,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-11","Austria",2020-02-11,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-12","Austria",2020-02-12,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-13","Austria",2020-02-13,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-14","Austria",2020-02-14,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Austria 2020-02-15","Austria",2020-02-15,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,9,1,42,13,0,-2
"Austria 2020-02-16","Austria",2020-02-16,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,15,21,42,12,1,-2
"Austria 2020-02-17","Austria",2020-02-17,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,9,5,35,3,-4,0
"Austria 2020-02-18","Austria",2020-02-18,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,8,5,40,2,-4,0
"Austria 2020-02-19","Austria",2020-02-19,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,-1,-5,1
"Austria 2020-02-20","Austria",2020-02-20,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,4,1,13,2,-5,0
"Austria 2020-02-21","Austria",2020-02-21,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,-2,-5,1
"Austria 2020-02-22","Austria",2020-02-22,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,9,3,52,14,2,-2
"Austria 2020-02-23","Austria",2020-02-23,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,5,2,0
"Austria 2020-02-24","Austria",2020-02-24,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,9,10,25,3,2,-1
"Austria 2020-02-25","Austria",2020-02-25,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,13,10,60,7,0,0
"Austria 2020-02-26","Austria",2020-02-26,2,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,8,-2,0,1
"Austria 2020-02-27","Austria",2020-02-27,0,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,0,1,1
"Austria 2020-02-28","Austria",2020-02-28,3,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,-1,9,-1,-2,1,1
"Austria 2020-02-29","Austria",2020-02-29,2,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,1,0
"Austria 2020-03-01","Austria",2020-03-01,3,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,2,0
"Austria 2020-03-02","Austria",2020-03-02,4,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16,1,3,-1
"Austria 2020-03-03","Austria",2020-03-03,4,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,-1,-3,2,1
"Austria 2020-03-04","Austria",2020-03-04,6,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,0,2,0
"Austria 2020-03-05","Austria",2020-03-05,5,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,1,0
"Austria 2020-03-06","Austria",2020-03-06,12,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-7,-2,1,0
"Austria 2020-03-07","Austria",2020-03-07,33,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-2,-3,0,0
"Austria 2020-03-08","Austria",2020-03-08,25,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,14,14,42,5,1,-2
"Austria 2020-03-09","Austria",2020-03-09,3,0,8858775,0,0,0,0,0,0,0,0,0,0,0,0,-1,4,2,-3,1,0
"Austria 2020-03-10","Austria",2020-03-10,29,0,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-3,10,9,-3,1,0
"Austria 2020-03-11","Austria",2020-03-11,51,0,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-6,17,12,-8,-1,1
"Austria 2020-03-12","Austria",2020-03-12,64,0,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-10,24,18,-9,-3,2
"Austria 2020-03-13","Austria",2020-03-13,115,1,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-20,46,-20,-20,-6,5
"Austria 2020-03-14","Austria",2020-03-14,143,0,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-35,-7,-17,-34,-9,8
"Austria 2020-03-15","Austria",2020-03-15,151,0,8858775,0,1,0,0,0,0,0,0,1,0,0,0,-59,-32,-13,-43,-18,8
"Austria 2020-03-16","Austria",2020-03-16,205,0,8858775,1,1,0,1,1,1,1,1,1,1,0,0,-71,-14,-37,-56,-43,19
