"Country","Report"
"Austria",0.74
"Belgium",0.73
"Bulgaria",0.8
"Croatia",0.74
"Cyprus",0.15
"Czechia",0.56
"Denmark",0.41
"Estonia",0.66
"Finland",0.4
"France",0.78
"Germany",0.6
"Greece",0.75
"Hungary",0.89
"Iceland",0.13
"Ireland",0.76
"Italy",0.86
"Latvia",0.51
"Liechtenstein",0.49
"Lithuania",0.76
"Luxembourg",0.49
"Malta",0.15
"Netherlands",0.78
"Norway",0.16
"Poland",0.44
"Portugal",0.74
"Romania",0.75
"Slovakia",0.27
"Slovenia",0.82
"Spain",0.9
"Sweden",0.81
"Switzerland",0.7
"United Kingdom",0.86
