Country,Response_measure,date_start,date_end
Austria,ClosDaycare,16/03/2020,04/05/2020
Austria,ClosDaycarePartial,17/11/2020,NA
Austria,ClosHigh,16/03/2020,30/09/2020
Austria,ClosHigh,03/11/2020,NA
Austria,ClosPrim,16/03/2020,18/05/2020
Austria,ClosPrimPartial,17/11/2020,NA
Austria,ClosPubAny,16/03/2020,13/04/2020
Austria,ClosPubAny,02/05/2020,14/05/2020
Austria,ClosPubAnyPartial,14/04/2020,01/05/2020
Austria,ClosPubAnyPartial,15/05/2020,NA
Austria,ClosSec,16/03/2020,03/05/2020
Austria,ClosSec,03/11/2020,NA
Austria,ClosSecPartial,04/05/2020,03/06/2020
Austria,MasksMandatory,06/04/2020,30/04/2020
Austria,MasksMandatory,14/09/2020,NA
Austria,MasksMandatoryPartial,01/05/2020,13/09/2020
Austria,MasksVoluntaryPartial,31/03/2020,05/04/2020
Austria,MassGatherAll,10/03/2020,31/07/2020
Austria,MassGatherAll,21/09/2020,NA
Austria,StayHomeGen,10/03/2020,15/03/2020
Austria,StayHomeOrder,16/03/2020,30/04/2020
Austria,StayHomeOrder,17/11/2020,NA
Austria,StayHomeOrderPartial,03/11/2020,16/11/2020
Austria,TeleworkingClosures,10/03/2020,NA
Belgium,ClosDaycare,01/05/2020,02/06/2020
Belgium,ClosDaycare,12/11/2020,16/11/2020
Belgium,ClosHigh,13/03/2020,NA
Belgium,ClosPrim,13/03/2020,17/05/2020
Belgium,ClosPrim,12/11/2020,16/11/2020
Belgium,ClosPrimPartial,18/05/2020,08/06/2020
Belgium,ClosPubAny,13/03/2020,03/05/2020
Belgium,ClosPubAny,02/11/2020,30/11/2020
Belgium,ClosPubAnyPartial,04/05/2020,01/11/2020
Belgium,ClosPubAnyPartial,01/12/2020,NA
Belgium,ClosSec,13/03/2020,17/05/2020
Belgium,ClosSec,12/11/2020,15/11/2020
Belgium,ClosSecPartial,18/05/2020,28/08/2020
Belgium,MasksMandatory,04/05/2020,NA
Belgium,MassGatherAll,10/03/2020,17/03/2020
Belgium,MassGatherAll,01/07/2020,NA
Belgium,StayHomeGenPartial,11/05/2020,31/08/2020
Belgium,StayHomeOrder,18/03/2020,10/05/2020
Belgium,StayHomeOrderPartial,16/10/2020,NA
Belgium,TeleworkingClosures,10/03/2020,07/06/2020
Belgium,TeleworkingClosures,19/10/2020,NA
Belgium,TeleworkingClosuresPartial,08/06/2020,18/10/2020
Bulgaria,ClosDaycare,13/03/2020,21/05/2020
Bulgaria,ClosDaycare,27/11/2020,NA
Bulgaria,ClosDaycarePartial,22/05/2020,14/06/2020
Bulgaria,ClosHigh,13/03/2020,31/05/2020
Bulgaria,ClosHigh,29/10/2020,NA
Bulgaria,ClosHighPartial,01/06/2020,14/09/2020
Bulgaria,ClosPrim,13/03/2020,14/09/2020
Bulgaria,ClosPrim,27/11/2020,NA
Bulgaria,ClosPubAny,30/03/2020,17/05/2020
Bulgaria,ClosPubAnyPartial,13/03/2020,29/03/2020
Bulgaria,ClosPubAnyPartial,18/05/2020,NA
Bulgaria,ClosSec,13/03/2020,14/09/2020
Bulgaria,ClosSec,29/10/2020,NA
Bulgaria,MasksMandatory,30/03/2020,31/03/2020
Bulgaria,MasksMandatory,12/04/2020,30/11/2020
Bulgaria,MassGather50Partial,13/03/2020,30/06/2020
Bulgaria,MassGatherAll,08/03/2020,12/03/2020
Bulgaria,MassGatherAllPartial,13/03/2020,30/06/2020
Bulgaria,TeleworkingClosures,14/11/2020,26/11/2020
Bulgaria,TeleworkingClosuresPartial,13/03/2020,29/03/2020
Bulgaria,TeleworkingClosuresPartial,27/11/2020,NA
Croatia,ClosDaycare,16/03/2020,11/05/2020
Croatia,ClosHigh,16/03/2020,NA
Croatia,ClosPrim,16/03/2020,10/05/2020
Croatia,ClosPrimPartial,11/05/2020,25/05/2020
Croatia,ClosPubAny,19/03/2020,28/05/2020
Croatia,ClosPubAnyPartial,14/08/2020,22/09/2020
Croatia,ClosPubAnyPartial,28/11/2020,NA
Croatia,ClosSec,16/03/2020,NA
Croatia,MasksMandatory,28/02/2020,24/06/2020
Croatia,MasksMandatoryPartial,25/06/2020,NA
Croatia,MassGather50Partial,24/08/2020,26/10/2020
Croatia,MassGatherAll,19/03/2020,23/08/2020
Croatia,MassGatherAll,27/10/2020,NA
Croatia,MassGatherAllPartial,24/08/2020,26/10/2020
Croatia,StayHomeGen,17/03/2020,05/05/2020
Croatia,StayHomeRiskG,03/03/2020,NA
Croatia,TeleworkingClosures,19/03/2020,27/05/2020
Cyprus,ClosDaycare,10/03/2020,09/06/2020
Cyprus,ClosHigh,10/03/2020,11/05/2020
Cyprus,ClosPrim,10/03/2020,21/05/2020
Cyprus,ClosPubAny,13/03/2020,03/05/2020
Cyprus,ClosPubAnyPartial,04/05/2020,29/06/2020
Cyprus,ClosPubAnyPartial,05/11/2020,NA
Cyprus,ClosSec,10/03/2020,10/05/2020
Cyprus,ClosSecPartial,11/05/2020,21/05/2020
Cyprus,MasksMandatory,04/05/2020,NA
Cyprus,MassGatherAll,10/03/2020,NA
Cyprus,StayHomeOrder,24/03/2020,03/05/2020
Cyprus,StayHomeOrderPartial,04/05/2020,21/05/2020
Cyprus,StayHomeOrderPartial,05/11/2020,NA
Cyprus,TeleworkingClosures,16/03/2020,14/04/2020
Cyprus,TeleworkingClosuresPartial,15/04/2020,29/06/2020
Czechia,ClosDaycare,11/03/2020,11/05/2020
Czechia,ClosHigh,11/03/2020,10/05/2020
Czechia,ClosHigh,14/10/2020,NA
Czechia,ClosHighPartial,11/05/2020,31/08/2020
Czechia,ClosPrim,11/03/2020,07/06/2020
Czechia,ClosPrim,14/10/2020,17/11/2020
Czechia,ClosPrimPartial,08/06/2020,31/08/2020
Czechia,ClosPrimPartial,18/11/2020,29/11/2020
Czechia,ClosPubAny,17/03/2020,23/04/2020
Czechia,ClosPubAny,14/10/2020,21/10/2020
Czechia,ClosPubAnyPartial,10/03/2020,16/03/2020
Czechia,ClosPubAnyPartial,24/04/2020,13/10/2020
Czechia,ClosPubAnyPartial,22/10/2020,NA
Czechia,ClosSec,11/03/2020,07/06/2020
Czechia,ClosSec,14/10/2020,NA
Czechia,ClosSecPartial,08/06/2020,31/08/2020
Czechia,MasksMandatory,19/03/2020,10/05/2020
Czechia,MasksMandatory,25/07/2020,NA
Czechia,MasksMandatoryPartial,11/05/2020,03/07/2020
Czechia,MasksVoluntary,04/07/2020,24/07/2020
Czechia,MassGatherAll,04/03/2020,18/10/2020
Czechia,MassGatherAll,22/10/2020,NA
Czechia,StayHomeOrder,16/03/2020,24/04/2020
Czechia,StayHomeOrder,22/10/2020,NA
Czechia,TeleworkingClosures,22/10/2020,02/12/2020
Czechia,TeleworkingClosuresPartial,03/12/2020,NA
Denmark,ClosDaycare,16/03/2020,15/04/2020
Denmark,ClosHigh,16/03/2020,31/07/2020
Denmark,ClosPrim,16/03/2020,15/04/2020
Denmark,ClosPubAny,18/03/2020,20/04/2020
Denmark,ClosPubAnyPartial,21/04/2020,NA
Denmark,ClosSec,16/03/2020,18/05/2020
Denmark,MasksMandatory,22/08/2020,NA
Denmark,MasksVoluntaryPartial,09/07/2020,21/08/2020
Denmark,MassGatherAll,18/03/2020,14/06/2020
Denmark,MassGatherAllPartial,15/06/2020,NA
Denmark,StayHomeRiskG,14/03/2020,NA
Denmark,TeleworkingClosures,13/03/2020,14/06/2020
Denmark,TeleworkingClosuresPartial,15/06/2020,NA
Estonia,ClosHigh,16/03/2020,17/05/2020
Estonia,ClosPrim,16/03/2020,17/05/2020
Estonia,ClosPubAny,12/03/2020,16/05/2020
Estonia,ClosPubAnyPartial,17/05/2020,01/07/2020
Estonia,ClosPubAnyPartial,19/08/2020,NA
Estonia,ClosSec,16/03/2020,17/05/2020
Estonia,MasksMandatory,24/11/2020,NA
Estonia,MasksVoluntary,12/03/2020,16/05/2020
Estonia,MasksVoluntaryPartial,17/05/2020,31/07/2020
Estonia,MasksVoluntaryPartial,12/10/2020,23/11/2020
Estonia,MassGatherAll,18/05/2020,31/05/2020
Estonia,MassGatherAll,15/07/2020,NA
Estonia,MassGatherAllPartial,01/06/2020,14/07/2020
Estonia,StayHomeGen,12/03/2020,17/05/2020
Estonia,TeleworkingClosuresPartial,16/03/2020,NA
Finland,ClosHigh,18/03/2020,04/08/2020
Finland,ClosPrim,18/03/2020,14/05/2020
Finland,ClosPubAny,18/03/2020,31/05/2020
Finland,ClosPubAnyPartial,01/06/2020,NA
Finland,ClosSec,18/03/2020,04/08/2020
Finland,MasksVoluntary,18/09/2020,NA
Finland,MasksVoluntaryPartial,13/08/2020,17/09/2020
Finland,MassGather50Partial,01/07/2020,31/07/2020
Finland,MassGather50Partial,15/10/2020,NA
Finland,MassGatherAll,12/03/2020,30/06/2020
Finland,MassGatherAllPartial,01/07/2020,NA
Finland,StayHomeRiskG,16/03/2020,22/06/2020
Finland,StayHomeRiskGPartial,23/06/2020,NA
Finland,TeleworkingClosures,18/03/2020,01/08/2020
Finland,TeleworkingClosuresPartial,13/08/2020,NA
France,ClosDaycare,16/03/2020,01/06/2020
France,ClosDaycarePartial,02/06/2020,22/06/2020
France,ClosHigh,27/10/2020,NA
France,ClosHighPartial,16/03/2020,22/06/2020
France,ClosPrimPartial,16/03/2020,22/06/2020
France,ClosPubAny,16/03/2020,10/05/2020
France,ClosPubAnyPartial,11/05/2020,22/06/2020
France,ClosPubAnyPartial,28/10/2020,NA
France,ClosSec,16/03/2020,10/05/2020
France,ClosSecPartial,11/05/2020,22/06/2020
France,MasksMandatory,18/05/2020,NA
France,MasksVoluntary,11/05/2020,17/05/2020
France,MassGather50Partial,18/09/2020,18/10/2020
France,MassGatherAll,29/02/2020,17/09/2020
France,MassGatherAll,19/10/2020,NA
France,MassGatherAllPartial,18/09/2020,18/10/2020
France,StayHomeOrder,17/03/2020,11/05/2020
France,StayHomeOrder,28/10/2020,NA
France,StayHomeOrderPartial,12/05/2020,02/06/2020
France,TeleworkingClosures,17/03/2020,10/05/2020
France,TeleworkingClosures,29/10/2020,NA
France,TeleworkingClosuresPartial,11/05/2020,28/10/2020
Germany,ClosDaycare,13/03/2020,14/05/2020
Germany,ClosDaycarePartial,15/05/2020,01/07/2020
Germany,ClosPrim,13/03/2020,03/05/2020
Germany,ClosPrimPartial,04/05/2020,29/06/2020
Germany,ClosPubAny,16/03/2020,04/05/2020
Germany,ClosPubAnyPartial,05/05/2020,NA
Germany,ClosSec,13/03/2020,03/05/2020
Germany,ClosSecPartial,04/05/2020,15/06/2020
Germany,MasksMandatory,27/04/2020,31/10/2020
Germany,MasksMandatoryPartial,01/11/2020,NA
Germany,MasksVoluntary,02/04/2020,26/04/2020
Germany,MassGather50Partial,11/05/2020,29/06/2020
Germany,MassGather50Partial,29/09/2020,01/11/2020
Germany,MassGatherAll,08/03/2020,10/05/2020
Germany,MassGatherAll,02/11/2020,NA
Germany,MassGatherAllPartial,11/05/2020,01/11/2020
Germany,StayHomeGen,17/03/2020,05/05/2020
Germany,StayHomeGenPartial,06/05/2020,29/06/2020
Greece,ClosDaycare,11/03/2020,01/06/2020
Greece,ClosDaycare,16/11/2020,NA
Greece,ClosHigh,03/11/2020,NA
Greece,ClosHighPartial,16/03/2020,25/05/2020
Greece,ClosPrim,11/03/2020,01/06/2020
Greece,ClosPrim,16/11/2020,NA
Greece,ClosPubAny,14/03/2020,03/05/2020
Greece,ClosPubAny,07/11/2020,NA
Greece,ClosPubAnyPartial,04/05/2020,06/11/2020
Greece,ClosSec,11/03/2020,10/05/2020
Greece,ClosSec,07/11/2020,NA
Greece,ClosSecPartial,11/05/2020,18/05/2020
Greece,MasksMandatory,28/04/2020,NA
Greece,MassGather50Partial,13/07/2020,06/11/2020
Greece,MassGatherAll,07/11/2020,NA
Greece,MassGatherAllPartial,13/07/2020,06/11/2020
Greece,StayHomeGen,27/02/2020,22/03/2020
Greece,StayHomeOrder,23/03/2020,04/05/2020
Greece,StayHomeOrder,07/11/2020,NA
Greece,StayHomeRiskG,11/03/2020,NA
Greece,TeleworkingClosures,19/03/2020,NA
Hungary,ClosDaycare,25/03/2020,02/06/2020
Hungary,ClosHigh,25/03/2020,18/05/2020
Hungary,ClosHigh,11/11/2020,NA
Hungary,ClosPrim,16/03/2020,01/06/2020
Hungary,ClosPrimPartial,02/06/2020,26/06/2020
Hungary,ClosPubAny,13/03/2020,18/05/2020
Hungary,ClosPubAnyPartial,21/09/2020,NA
Hungary,ClosSec,16/03/2020,01/06/2020
Hungary,ClosSec,11/11/2020,NA
Hungary,ClosSecPartial,02/06/2020,26/06/2020
Hungary,MasksMandatory,02/11/2020,10/11/2020
Hungary,MasksMandatoryPartial,04/05/2020,01/11/2020
Hungary,MasksMandatoryPartial,11/11/2020,NA
Hungary,MassGatherAll,11/03/2020,11/06/2020
Hungary,MassGatherAll,11/11/2020,NA
Hungary,MassGatherAllPartial,21/09/2020,10/11/2020
Hungary,StayHomeGen,21/03/2020,26/03/2020
Hungary,StayHomeOrder,27/03/2020,18/05/2020
Hungary,StayHomeOrderPartial,04/11/2020,NA
Iceland,ClosHigh,16/03/2020,04/05/2020
Iceland,ClosPubAny,16/03/2020,03/05/2020
Iceland,ClosPubAnyPartial,04/05/2020,15/06/2020
Iceland,ClosPubAnyPartial,31/08/2020,NA
Iceland,ClosSec,16/03/2020,04/05/2020
Iceland,MasksMandatoryPartial,05/10/2020,NA
Iceland,MasksVoluntaryPartial,31/07/2020,04/10/2020
Iceland,MassGatherAll,16/03/2020,24/05/2020
Iceland,MassGatherAll,04/10/2020,NA
Iceland,MassGatherAllPartial,25/05/2020,03/10/2020
Iceland,StayHomeRiskG,16/03/2020,NA
Ireland,ClosDaycare,12/03/2020,29/06/2020
Ireland,ClosHigh,12/03/2020,NA
Ireland,ClosPrim,12/03/2020,24/08/2020
Ireland,ClosPubAny,12/03/2020,26/03/2020
Ireland,ClosPubAny,06/06/2020,29/06/2020
Ireland,ClosPubAnyPartial,27/03/2020,05/06/2020
Ireland,ClosPubAnyPartial,06/10/2020,NA
Ireland,ClosSec,12/03/2020,31/08/2020
