"country","early_start","late_start","early_end","late_end"
"Austria",2020-07-04,2020-07-11,2020-09-06,2020-09-13
"Belgium",2020-07-01,NA,2020-08-31,NA
"Bulgaria",2020-06-16,NA,2020-09-14,NA
"Croatia",2020-06-22,NA,2020-09-07,NA
"Cyprus",2020-06-22,NA,2020-09-07,2020-09-11
"Czechia",2020-07-01,NA,2020-08-31,NA
"Denmark",2020-06-28,NA,2020-08-02,NA
"Estonia",2020-06-15,NA,2020-08-31,NA
"Finland",2020-06-08,NA,2020-08-09,NA
"France",2020-07-06,NA,2020-08-28,NA
"Germany",2020-06-22,2020-07-30,2020-08-01,2020-09-12
"Greece",2020-06-20,NA,2020-09-01,NA
"Netherlands",2020-07-06,2020-07-20,2020-08-14,2020-08-28
"Hungary",2020-06-15,NA,2020-08-31,NA
"Iceland",2020-06-08,NA,2020-08-24,NA
"Ireland",2020-06-01,2020-06-29,2020-08-24,2020-08-31
"Italy",2020-06-08,NA,2020-09-17,NA
"Liechtenstein",2020-07-06,NA,2020-08-14,NA
"Lithuania",2020-06-01,NA,2020-08-31,NA
"Luxembourg",2020-07-16,NA,2020-09-14,NA
"Malta",2020-06-29,NA,2020-09-24,NA
"Norway",2020-06-20,NA,2020-08-16,NA
"Poland",2020-06-27,NA,2020-08-31,NA
"Portugal",2020-06-10,NA,2020-09-13,NA
"Romania",2020-06-13,NA,2020-08-31,NA
"Slovakia",2020-07-01,NA,2020-08-31,NA
"Slovenia",2020-06-26,NA,2020-08-31,NA
"Spain",2020-06-20,NA,2020-09-05,2020-09-11
"Sweden",2020-06-13,NA,2020-08-17,NA
"Switzerland",2020-06-22,2020-07-13,2020-08-07,2020-08-21
"United Kingdom",2020-07-04,2020-07-18,2020-09-02,2020-09-06
